P_el_Halle;P_el_Schule;P_el_KiGa;W_Halle;W_Schule;W_KiGa;G_Halle;G_Schule;Gas_KiGa
11,5;6,3;1,18;17,1;7;10;22,3;7,5;10,6
13,8;8;0,45;36,2;13;1;43,9;14,0;1,1
14,3;9;0,47;36,2;12;0;43,9;12,0;0,0
14,3;8,7;0,5;35,2;10;11;42,7;10,5;11,7
7;6,6;0,41;36,9;18;8;44,6;19,1;8,5
0,9;2,9;0,43;17,8;5;8;24,7;5,1;8,5
0,5;2,7;0,45;3,9;21;7;4,9;22,1;7,4
0,5;2,8;0,83;0;16;8;0,0;16,7;8,5
0,5;2,7;0,47;0;17;7;0,0;18,5;7,4
0,7;3,1;0,54;6,7;24;8;7,3;26,1;8,5
0,9;3,5;0,42;35,2;16;9;42,8;18,8;9,6
12,3;3,5;0,48;37,5;18;19;45,3;25,4;20,2
13,7;4;0,56;34,7;25;25;42,1;33,0;26,6
10,7;7,3;0,55;37,1;20;20;44,8;27,4;21,3
2;15,8;1,39;37,7;32;19;45,6;39,8;20,2
2,4;16,9;2,13;36,2;40;21;43,9;48,4;22,3
3;16,8;3,15;36,2;32;18;43,9;39,3;19,1
2,6;15,1;5,8;36,2;31;16;43,8;34,4;17,0
1,9;20,2;3,87;22,2;44;14;29,4;46,7;14,9
1,9;16,9;3,25;32,6;32;12;40,0;39,5;12,8
1;10,5;3,33;2,2;25;11;2,7;29,0;11,7
1,5;8,3;1,86;0;31;12;0,0;33,1;12,8
5,5;6,6;2,56;3;13;10;3,3;13,3;10,6
9,8;4,8;3,23;25,5;6;8;32,0;6,7;8,5
1,3;4,9;0,7;35,3;6;1;42,9;6,5;1,1
0,8;7,7;0,59;36,5;9;0;44,0;9,2;0,0
1;6,9;0,99;36,7;8;6;44,5;8,2;6,4
0,8;5,7;0,44;32,3;7;8;39,7;7,7;8,5
1,7;4,6;0,39;6,2;6;7;7,2;6,2;7,4
0,7;2,8;0,82;2,8;4;4;5,6;3,7;4,3
0,4;2,5;0,4;0;3;11;0,0;3,3;11,7
0,4;2,5;0,42;0;3;9;0,0;3,2;9,6
0,4;2,6;0,36;0;7;7;0,0;7,0;7,4
0,4;2,5;0,4;1;18;7;1,1;19,6;7,4
0,5;3;0,36;0;21;8;0,0;27,8;8,5
0,6;3;0,38;4,2;16;8;4,6;23,3;8,5
0,8;3,3;0,39;36,5;20;8;44,1;27,5;8,5
0,5;3,7;0,37;37,2;22;9;45,0;29,4;9,6
0,7;3,5;0,76;36,1;17;9;43,7;20,3;9,6
0,5;2,9;1,28;36,1;10;8;43,8;10,8;8,5
0,6;2,9;0,32;36,1;4;0;43,7;4,2;0,0
0,6;3;0,82;35,1;4;5;42,7;3,9;5,3
0,6;2,4;0,41;36,1;3;4;43,7;3,1;4,3
0,3;2,5;0,35;13,1;3;0;16,5;3,2;0,0
0,3;2,4;0,39;0;3;0;0,0;3,1;0,0
0,3;2,5;0,39;0;3;0;0,0;3,2;0,0
0,3;2,4;0,38;0;3;0;0,0;3,1;0,0
0,3;2,6;0,41;0;3;0;0,0;3,3;0,0
0,3;2,7;0,37;0;3;0;0,0;3,5;0,0
0,6;3,2;0,9;11,8;4;3;14,3;4,2;3,2
0,9;4,6;1,22;36,5;6;9;44,1;6,2;9,6
0,6;4,6;0,36;32,3;6;0;39,6;6,2;0,0
0,5;4,4;0,34;4,4;6;5;5,4;5,9;5,3
0,4;2,9;0,4;0;4;9;0,0;3,8;9,6
0,3;2,8;0,36;0;16;2;0,0;16,7;2,1
0,4;2,7;0,37;0;17;2;0,0;18,6;2,1
0,3;2,8;1,23;0;24;9;0,0;25,6;9,6
0,3;2,9;0,78;0;16;6;0,0;17,6;6,4
0,3;3,3;0,38;0;20;3;0,0;25,7;3,2
0,5;3,4;0,39;0;22;9;0,0;29,2;9,6
0,6;4,1;0,36;0;19;7;0,0;26,4;7,4
0,6;4,4;0,4;0;26;8;0,0;33,7;8,5
0,4;3,5;0,35;0;17;7;0,0;18,5;7,4
